,Model,MSE,RMSE,R2,MAE
Linear Regression,Linear Regression,6029.285949,77.6484768,0.020169422,21.96977893
Ridge Regression,Ridge Regression,6029.294153,77.64852962,0.020168089,21.96956875
Lasso Regression,Lasso Regression,6056.189703,77.82152467,0.015797243,21.64327454
ElasticNet,ElasticNet,6068.585068,77.90112367,0.013782849,21.45093583
Decision Tree,Decision Tree,87.15054119,9.33544542,0.985837002,1.245214324
Random Forest,Random Forest,130.3415465,11.41672223,0.978817951,1.615671339
Extra Trees,Extra Trees,27.00050724,5.196201232,0.995612097,1.059144336
Gradient Boosting,Gradient Boosting,651.1879858,25.51838525,0.894174218,11.72704659
AdaBoost,AdaBoost,2302.289892,47.98218307,0.625850548,35.36243347
Support Vector Regressor,Support Vector Regressor,6342.253032,79.63826362,-0.030691446,14.84871779
K-Nearest Neighbors,K-Nearest Neighbors,18.41340048,4.291083835,0.997007604,0.824960064
XGBoost,XGBoost,293.0646098,17.11912994,0.95237352,2.49180412
LightGBM,LightGBM,295.9948152,17.20449985,0.951897327,4.407745074
